GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-multi Coverage Project/jacoco-multi,com.lordofthejars.jacoco.projectb,AgeCalculator,0,18,1,3,0,5,1,3,0,2
jacoco-multi Coverage Project/jacoco-multi,com.lordofthejars.jacoco.projecta,MathOperations,3,4,0,0,1,1,1,1,1,1
